"All data from Tiratelli, Matteo (2019). Catalogue of riots in Glasgow, Liverpool and Manchester, 1800-1939. [Data Collection]. Colchester, Essex: UK Data Service. https://reshare.ukdataservice.ac.uk/853781/",,,,
Date,City,Initiation - table,Duration - table,Termination - code
1807 - July 13,Manchester,,Minutes [inferred],Law enforcement
1808 - May/June,Manchester,Police/Bailiff,Days [explicit],
1812 - April,Manchester,,Days [explicit],
1818 - July 15,Manchester,Factory visiting,Days [explicit],
1818 - July,Manchester,Police/Bailiff,Hours [inferred],
1818 - September 2,Manchester,Factory visiting,Hours [explicit],Law enforcement
1819 - January 22,Manchester,Provocation,Minutes [inferred],Lose object of shared attention
1819 - February 15,Manchester,Provocation,Hours [explicit],Law enforcement
1819 - August 16,Manchester,,Minutes [explicit],Law enforcement
1823 - January 1,Manchester,,,
1825 - May 22,Manchester,Provocation,Minutes [inferred],
1825 - December 11,Manchester,Provocation,Minutes [inferred],
1826 - April 19-29,Manchester,Factory visiting,Days [explicit],
1826 - May 14,Manchester,,Minutes [inferred],
1826 - June,Manchester,,,
1826 - September,Manchester,,,
1827 - May,Manchester,Police/Bailiff,,
1828 - January 30,Manchester,Meeting,Minutes [inferred],
1828 - July 27,Manchester,Police/Bailiff,,
1828 - September 11,Manchester,Provocation,Minutes [inferred],
1829 - January 1,Manchester,,,
1829 - April 5,Manchester,,,Law enforcement
1829 - May 3 & 4,Manchester,Factory visiting,Days [explicit],Law enforcement ?
1829 - May (late),Manchester,,Minutes [inferred],Law enforcement
1829 - May 27,Manchester,,Minutes [inferred],Law enforcement
1829 - June 6,Manchester,Provocation,Minutes [explicit],
1829 - July 22,Manchester,Factory visiting,Hours [inferred],
1829 - November 11,Manchester,Police/Bailiff,Minutes [inferred],Law enforcement
1830 - February 24,Manchester,Police/Bailiff,Days [explicit],Law enforcement
1830 - March 17,Manchester,Provocation,Minutes [inferred],
1830 - April 15,Manchester,Factory visiting,Minutes [inferred],Law enforcement
1830 - July 12,Manchester,Provocation,Minutes [inferred],
1830 - July 26,Manchester,,Hours [explicit],Law enforcement
1830 - September 14 & 15,Manchester,,Days [explicit],
1830 - November 17,Manchester,Police/Bailiff,Minutes [inferred],Law enforcement
1830 - December 7,Manchester,Factory visiting,Minutes [inferred],
1831 - October 14,Manchester,,Minutes [inferred],Law enforcement
1831 - November,Manchester,Police/Bailiff,,
1832 - April 18,Manchester,Attacking strike breakers,Minutes [inferred],Law enforcement
1832 - July 22,Manchester,Provocation,Minutes [inferred],Law enforcement
1832 - September 2,Manchester,Provocation,Minutes [inferred],
1832 - December 14,Manchester,Meeting,Hours [inferred],
1834 - July 13 & 14,Manchester,Provocation,Days [explicit],
1835 - January 8 & 9,Manchester,Meeting,Days [explicit],
1835 - July 12,Manchester,,Days [explicit],
1837 - March 13,Manchester,Provocation,Minutes [inferred],
1837 - April 17 - 20,Manchester,Bread riots,Days [explicit],Law enforcement
1837 - July 26,Manchester,Meeting,Days [explicit],Law enforcement
1838 - March 17,Manchester,,,
1839 - August 4 & 12,Manchester,Police/Bailiff,Hours [explicit],Law enforcement
1840 - January 20,Manchester,Bread riots,Minutes [inferred],
1841 - June 2,Manchester,Provocation,Days [explicit],
1841 - June 30,Manchester,Meeting,Hours [inferred],Law enforcement
1842 - March 8,Manchester,Meeting,Minutes [explicit],Law enforcement
1842 - July 4-6,Manchester,,Days [explicit],
1842 - August 10 & 11,Manchester,Factory visiting,Days [explicit],
1842 - September 15,Manchester,Factory visiting,Days [explicit],
1843 - May 16,Manchester,,Minutes [explicit],Dispersed
1843 - May 22 & 23,Manchester,Provocation,Hours [inferred],
1844 - July 20,Manchester,,,Law enforcement
1844 - September 9,Manchester,Provocation,,
1846 - March,Manchester,Attacking strike breakers,,
1847 - May 15,Manchester,Police/Bailiff,,
1847 - December 15,Manchester,Meeting,Hours [explicit],
1848 - March 9,Manchester,Factory visiting,Days [explicit],
1848 - May 31,Manchester,Police/Bailiff,Hours [explicit],Law enforcement
1848 - August 14,Manchester,,Hours [explicit],Law enforcement
1849 - September,Manchester,Meeting,Minutes [inferred],
1850 - October 27,Manchester,,Hours [inferred],
1851 - July 19,Manchester,Attacking strike breakers,,
1851 - December 11,Manchester,Meeting,Minutes [inferred],Leader
1852 - June 28 & 29,Manchester,Provocation,Days [explicit],Law enforcement
1853 - August 2,Manchester,Provocation,Minutes [inferred],
1853 - August 15,Manchester,Police/Bailiff,Minutes [inferred],
1854 - April 25,Manchester,Factory visiting,Minutes [explicit],Law enforcement (but continued to be attacked as they took prisoners to the lock up)
1854 - July Sundays,Manchester,,Days [explicit],
"1854 - September 5, 6 & 7",Manchester,Police/Bailiff,Days [explicit],Law enforcement
1857 - February 7,Manchester,Police/Bailiff,,
1857 - July 15,Manchester,,,Lose object of shared attention
1858 - January 5,Manchester,Provocation,Minutes [inferred],
1859 - April 3,Manchester,Police/Bailiff,,
1863 - March 20-24,Manchester,,,
1867 - February 17,Manchester,Attacking strike breakers,,
1868 - January 23 & 24,Manchester,Provocation,Days [explicit],
1868 - May/April,Manchester,,Days [explicit],
1868 - August 16,Manchester,,Hours [explicit],
1868 - September 5,Manchester,Meeting,Hours [explicit],Law enforcement
1868 - November 3,Manchester,Meeting,Hours [inferred],
1869 - March,Manchester,,,
1870 - December 25,Manchester,Provocation,Minutes [inferred],
1874 - February 4,Manchester,Meeting,Hours [explicit],Law enforcement (and then close of polls)
1876 - February 21-15,Manchester,Attacking strike breakers,Days [explicit],
1876 - July 16,Manchester,Provocation,Minutes [inferred],
1876 - July 12,Manchester,Provocation,Days [explicit],
1878 - May 14,Manchester,,Hours [explicit],
1879 - May 10,Manchester,,Hours [inferred],
1880 - March 31,Manchester,Meeting,Minutes [inferred],Law enforcement
1880 - September 27,Manchester,,Minutes [explicit],
1882 - June 8 & 10,Manchester,Police/Bailiff,Hours [explicit],Law enforcement
1882 - August 9 & 10,Manchester,Provocation,Days [explicit],
1883 - March 9,Manchester,,,
1883 - September 2,Manchester,Police/Bailiff,Minutes [inferred],Law enforcement
1884 - October 12,Manchester,,Minutes [explicit],Law enforcement
1884 - October 19,Manchester,Meeting,,Dispersed
1884 - December,Manchester,,Minutes [inferred],
1884 - December 6,Manchester,,,
1884 - December 7,Manchester,Marching band,Minutes [inferred],Law enforcement
1885 - December 1,Manchester,Meeting,Minutes [inferred],
1886 - February 28,Manchester,Meeting,Hours [explicit],Law enforcement
1886 - June 12,Manchester,,,Law enforcement
1886 - June,Manchester,Police/Bailiff,,
1888 - March 27,Manchester,Police/Bailiff,,
1888 - June 2,Manchester,,,
1888 - July 8,Manchester,Provocation,Hours [explicit],Law enforcement
1889 - January (Saturday),Manchester,,,
1890 - March 17,Manchester,Police/Bailiff,,Law enforcement
1890 - June (regular clashes),Manchester,,Days [explicit],
1890 - October 20,Manchester,,,
1891 - August 4,Manchester,Attacking strike breakers,,Law enforcement
1892 - April,Manchester,Attacking strike breakers,Days [explicit],
1895 - October,Manchester,Attacking strike breakers,,
1904 - September,Manchester,Attacking strike breakers,Days [explicit],
1905 - July 31,Manchester,Police/Bailiff,Minutes [inferred],Law enforcement
1908 - June,Manchester,,,
1908 - September 22,Manchester,,Minutes [explicit],Law enforcement
1908 - September 25,Manchester,,Minutes [inferred],Law enforcement
1909 - December,Manchester,Police/Bailiff,,
1911 - July 1-6,Manchester,Attacking strike breakers,Days [explicit],Law enforcement
1912 - April 6,Manchester,Provocation,Hours [explicit],
1915 - May 10-15,Manchester,Provocation,Days [explicit],
1919 - March 8,Manchester,Police/Bailiff,,
1919 - June,Manchester,,,
1921 - August 9,Manchester,,,
1930 - March,Manchester,Police/Bailiff,Minutes [inferred],Law enforcement
1931 - October 7,Manchester,Police/Bailiff,Minutes [inferred],Law enforcement
1931 - November 10,Manchester,,,
1934 - November 25,Manchester,Meeting,,
1936 - June 28,Manchester,Meeting,,
1800 - October 20,Glasgow,Bread riots,,
1812 - November,Glasgow,,,
1816 - August 1 & 2,Glasgow,Provocation,Days [explicit],
1817 - January 6,Glasgow,Police/Bailiff,,
1817 - September,Glasgow,Bread riots,,
1819 - August,Glasgow,,,
1820 - April 1 to 8,Glasgow,,Days [explicit],Law enforcement
1820 - June 28,Glasgow,Provocation,Minutes [inferred],Law enforcement
1820 - November 14 & 15,Glasgow,,Days [explicit],
1821 - April 23,Glasgow,,,Law enforcement
1821 - July 12,Glasgow,Provocation,Minutes [explicit],
1822 - February 16,Glasgow,,,Law enforcement
1822 - July 12,Glasgow,,Minutes [inferred],Law enforcement
1823 - September 9,Glasgow,Attacking strike breakers,Hours [explicit],Lose object of shared attention
1824 - July 28,Glasgow,,,Law enforcement
1829 - February 21,Glasgow,,,Law enforcement
1830 - June 5 & 6,Glasgow,,Days [explicit],
1842 - October,Glasgow,Police/Bailiff,,
1844 - April 17,Glasgow,Police/Bailiff,,Law enforcement
1844 - August 8 & 9,Glasgow,,Days [explicit],Law enforcement
1845 - June 14,Glasgow,Police/Bailiff,,
1845 - August 10,Glasgow,Provocation,Minutes [explicit],Law enforcement
1846 - February 16,Glasgow,Provocation,,Law enforcement
1846 - May 24 to 26,Glasgow,Police/Bailiff,Days [explicit],
1846 - June 2,Glasgow,Provocation,Hours [explicit],
1846 - August 30,Glasgow,Police/Bailiff,,Law enforcement
1847 - July 30,Glasgow,Meeting,,Law enforcement
1848 - March 6 & 7,Glasgow,Provocation,Days [explicit],
1848 - June 3 & 4,Glasgow,Police/Bailiff,Days [explicit],Law enforcement
1849 - September 24,Glasgow,Police/Bailiff,,
1849 - November 18,Glasgow,Police/Bailiff,,
1850 - April 2,Glasgow,Police/Bailiff, (crowd split between rescuers and supporting police),Law enforcement
1853 - July 18,Glasgow,Police/Bailiff,,
1855 - July 6,Glasgow,,,
1856 - March 3,Glasgow,Police/Bailiff,Minutes [explicit],Law enforcement
1857 - May 11,Glasgow,,Minutes [inferred],
1860 - June 2,Glasgow,,,
1860 - June 8,Glasgow,,,
1861 - March 4,Glasgow,Meeting,Hours [explicit],Exhausted itself
1862 - June 9,Glasgow,,,
1864 - August 1,Glasgow,Police/Bailiff,Minutes [inferred],Law enforcement
1868 - September,Glasgow,,,
1868 - October/November,Glasgow,,,
1869 - August 7 & 8,Glasgow,Provocation,Days [explicit],
1870 - October 2,Glasgow,Police/Bailiff,,
1870 - November 6,Glasgow,Provocation,,
1874 - July 11 & 12,Glasgow,Marching band,Days [explicit],
1875 - August 7 & 8,Glasgow,Provocation,Days [explicit],
1875 - September 11,Glasgow,Police/Bailiff,,
1877 - March 9,Glasgow,,,Law enforcement
1877 - July 20 & 23,Glasgow,Marching band,,
